IP,USUARIO,FECHA,METODO,CODIGORESPUESTA,TAMAOBJETO
2074613124,0,2052021160454,1,200,573
14476103165,0,2052021161618,2,200,0
1652214765,0,2052021161618,1,200,8165
1652214765,0,2052021161619,2,200,8602
1652214765,0,2052021161620,2,200,413
14476103165,0,2052021162730,2,200,0
10316113219,0,2052021162730,1,200,8165
10316113219,0,2052021162732,2,200,8602
10316113219,0,2052021162733,2,200,413
1395961144,0,2052021164018,1,200,8165
14476103165,0,2052021164019,2,200,0
1395961144,0,2052021164022,2,200,8602
1395961144,0,2052021164025,2,200,413
14476103165,0,2052021164532,2,200,0
207461366,0,2052021164531,1,200,273
103211219226,0,2052021165201,1,200,8165
14476103165,0,2052021165202,2,200,0
14476103165,0,2052021165201,2,200,0
14476103165,0,2052021165204,2,200,0
103211219226,0,2052021165204,2,200,8602
103211219226,0,2052021165206,2,200,413
14476103165,0,2052021170458,2,200,0
19010717755,0,2052021170457,1,200,8165
19010717755,0,2052021170459,2,200,8602
19010717755,0,2052021170500,2,200,413
14476103165,0,2052021171718,2,200,0
13819713166,0,2052021171718,1,200,8165
13819713166,0,2052021171720,2,200,8602
13819713166,0,2052021171721,2,200,413
14476103165,0,2052021173015,2,200,0
162214114242,0,2052021173015,1,200,8165
162214114242,0,2052021173022,2,200,8602
162214114242,0,2052021173028,2,200,413
14476103165,0,2052021174257,2,200,0
10371255100,0,2052021174256,1,200,8165
10371255100,0,2052021174258,2,200,8602
10371255100,0,2052021174259,2,200,413
14476103165,0,2052021175522,2,200,0
16786101200,0,2052021175521,1,200,8165
16786101200,0,2052021175523,2,200,8602
16786101200,0,2052021175523,2,200,413
14476103165,0,2052021175936,2,200,0
5917514414,0,2052021175936,1,301,0
5917514414,0,2052021175938,1,200,21798
14476103165,0,2052021180646,2,200,0
212224118137,0,2052021180645,1,200,8165
212224118137,0,2052021180646,2,200,8602
212224118137,0,2052021180647,2,200,413
14476103165,0,2052021181424,2,200,0
661026111,0,2052021181424,1,200,21798
661026109,0,2052021181426,1,302,0
661026109,0,2052021181426,1,200,4119
14476103165,0,2052021181801,2,200,0
10371255100,0,2052021181801,1,200,8165
10371255100,0,2052021181803,2,200,8602
14476103165,0,2052021181805,2,200,0
10371255100,0,2052021181804,2,200,413
14476103165,0,2052021182715,2,200,0
10314551182,0,2052021182714,1,200,8165
10314551182,0,2052021182716,2,200,8602
10314551182,0,2052021182717,2,200,413
14476103165,0,2052021183444,2,200,0
8019177242,0,2052021183444,1,200,8165
8019177242,0,2052021183445,2,200,8602
8019177242,0,2052021183446,2,200,413
14476103165,0,2052021185025,2,200,0
18512813821,0,2052021185024,1,200,8165
18512813821,0,2052021185026,2,200,8602
18512813821,0,2052021185027,2,200,413
14476103165,0,2052021185513,2,200,0
115148152138,0,2052021185512,1,301,0
5952176135,0,2052021185523,1,200,21798
14476103165,0,2052021185702,2,200,0
1765384179,0,2052021185702,1,200,8165
1765384179,0,2052021185703,2,200,8602
14476103165,0,2052021185704,2,200,0
1765384179,0,2052021185703,2,200,413
14476103165,0,2052021190314,2,200,0
18546120131,0,2052021190313,1,200,8165
18546120131,0,2052021190314,2,200,8602
18546120131,0,2052021190315,2,200,413
14476103165,0,2052021190955,2,200,0
19281214168,0,2052021190955,1,200,8165
19281214168,0,2052021190958,2,200,8602
19281214168,0,2052021191002,2,200,413
14476103165,0,2052021191821,2,200,0
5200916,0,2052021191821,1,200,8165
5200916,0,2052021191827,2,200,8602
5200916,0,2052021191833,2,200,413
14476103165,0,2052021191906,2,200,0
8216518518,0,2052021191906,1,301,0
8216518518,0,2052021191907,1,200,21798
14476103165,0,2052021192257,2,200,0
1158654,0,2052021192256,1,200,8165
1158654,0,2052021192258,2,200,8602
1158654,0,2052021192300,2,200,413
14476103165,0,2052021192941,2,200,0
19010717755,0,2052021192940,1,200,8165
19010717755,0,2052021192942,2,200,8602
19010717755,0,2052021192943,2,200,413
14476103165,0,2052021193640,2,200,0
191232184211,0,2052021193639,1,200,8165
191232184211,0,2052021193641,2,200,8602
191232184211,0,2052021193642,2,200,413
14476103165,0,2052021194333,2,200,0
518342255,0,2052021194332,1,200,8165
518342255,0,2052021194333,2,200,8602
518342255,0,2052021194334,2,200,413
14476103165,0,2052021195107,2,200,0
1622146519,0,2052021195107,1,200,8165
1622146519,0,2052021195108,2,200,8602
14476103165,0,2052021195110,2,200,0
1622146519,0,2052021195109,2,200,413
14476103165,0,2052021195850,2,200,0
24158777,0,2052021195849,1,200,8165
24158777,0,2052021195851,2,200,8602
24158777,0,2052021195851,2,200,413
14476103165,0,2052021200526,2,200,0
5436148135,0,2052021200526,1,200,123
5436148195,0,2052021200527,1,200,21798
14476103165,0,2052021200644,2,200,0
352358696,0,2052021200643,1,200,8165
352358696,0,2052021200645,2,200,8602
352358696,0,2052021200645,2,200,413
14476103165,0,2052021201412,2,200,0
1856115435,0,2052021201412,1,200,8165
1856115435,0,2052021201414,2,200,8602
1856115435,0,2052021201415,2,200,413
14476103165,0,2052021202301,2,200,0
107180103185,0,2052021202300,1,200,8165
107180103185,0,2052021202301,2,200,8602
107180103185,0,2052021202302,2,200,413
14476103165,0,2052021203102,2,200,0
1856115429,0,2052021203102,1,200,8165
1856115429,0,2052021203103,2,200,8602
14476103165,0,2052021203104,2,200,0
1856115429,0,2052021203103,2,200,413
14476103165,0,2052021204013,2,200,0
91134201164,0,2052021204013,1,200,8165
91134201164,0,2052021204014,2,200,8602
91134201164,0,2052021204014,2,200,413
14476103165,0,2052021204939,2,200,0
16221418824,0,2052021204939,2,200,8498
16221418824,0,2052021204941,2,200,413
14476103165,0,2052021205755,2,200,0
162241120138,0,2052021205754,1,200,8165
162241120138,0,2052021205756,2,200,8602
162241120138,0,2052021205757,2,200,413
14476103165,0,2052021210720,2,200,0
10414523789,0,2052021210719,1,200,8165
10414523789,0,2052021210721,2,200,8602
10414523789,0,2052021210722,2,200,413
14476103165,0,2052021211644,2,200,0
35237185177,0,2052021211643,1,200,8165
35237185177,0,2052021211644,2,200,8602
35237185177,0,2052021211645,2,200,413
14476103165,0,2052021212630,2,200,0
18216096130,0,2052021212629,1,200,8165
18216096130,0,2052021212631,2,200,8602
18216096130,0,2052021212632,2,200,413
14476103165,0,2052021213609,2,200,0
1892012526,0,2052021213608,1,200,8165
1892012526,0,2052021213610,2,200,8602
1892012526,0,2052021213611,2,200,413
14476103165,0,2052021214537,2,200,0
1854612166,0,2052021214536,1,200,8165
1854612166,0,2052021214537,2,200,8602
1854612166,0,2052021214538,2,200,413
14476103165,0,2052021215608,2,200,0
165232107220,0,2052021215608,1,200,8165
165232107220,0,2052021215613,2,200,8602
165232107220,0,2052021215613,2,200,413
14476103165,0,2052021221011,2,200,0
78471197,0,2052021221010,1,200,21798
78471197,0,2052021221011,1,200,21798
78471197,0,2052021221012,1,200,846
78471197,0,2052021221012,1,200,22290
78471197,0,2052021221013,1,200,958488
78471197,0,2052021221014,1,200,27290
78471197,0,2052021221015,1,200,1045
78471197,0,2052021221015,1,200,22242
78471197,0,2052021221016,1,200,1426
78471197,0,2052021221016,1,200,22396
78471197,0,2052021221016,1,200,89496
78471197,0,2052021221017,1,200,8165
78471197,0,2052021221017,1,200,11224
78471197,0,2052021221017,1,200,21798
78471197,0,2052021221018,1,200,51338
78471197,0,2052021221018,1,200,1763
78471197,0,2052021221019,1,200,3438
78471197,0,2052021221019,1,200,1758
78471197,0,2052021221019,1,200,25121
78471197,0,2052021221019,1,200,17963
78471197,0,2052021221020,1,200,6951
78471197,0,2052021221020,1,200,7081
78471197,0,2052021221020,1,200,3196
78471197,0,2052021221020,1,200,62841
78471197,0,2052021221020,1,200,10085
78471197,0,2052021221020,1,200,3037
78471197,0,2052021221020,1,200,85368
78471197,0,2052021221020,1,200,2938
78471197,0,2052021221020,1,200,4028
78471197,0,2052021221020,1,200,2057
78471197,0,2052021221020,1,200,7686
78471197,0,2052021221021,1,200,9475
78471197,0,2052021221021,1,200,41730
78471197,0,2052021221021,1,200,1834
78471197,0,2052021221021,1,200,39733
78471197,0,2052021221021,1,200,169320
78471197,0,2052021221021,1,200,69707
78471197,0,2052021221021,1,200,3277
78471197,0,2052021221021,1,200,152767
78471197,0,2052021221022,1,200,1805
78471197,0,2052021221022,1,200,24292
78471197,0,2052021221022,1,200,11556
78471197,0,2052021221022,1,200,28150
78471197,0,2052021221022,1,200,133250
78471197,0,2052021221022,1,200,44030
14476103165,0,2052021221610,2,200,0
1399914832,0,2052021221610,1,200,8165
1399914832,0,2052021221612,2,200,8602
1399914832,0,2052021221614,2,200,413
14476103165,0,2052021222608,2,200,0
144918779,0,2052021222607,1,200,8165
144918779,0,2052021222608,2,200,8602
144918779,0,2052021222609,2,200,413
14476103165,0,2052021223645,2,200,0
1031878108,0,2052021223644,1,200,8165
1031878108,0,2052021223646,2,200,8602
1031878108,0,2052021223647,2,200,413
14476103165,0,2052021224718,2,200,0
184171244231,0,2052021224717,1,200,8165
184171244231,0,2052021224719,2,200,8602
184171244231,0,2052021224719,2,200,413
14476103165,0,2052021225827,2,200,0
4511983250,0,2052021225827,1,200,8165
4511983250,0,2052021225829,2,200,8602
4511983250,0,2052021225830,2,200,413
14476103165,0,2052021230925,2,200,0
1802502834,0,2052021230924,1,200,8165
1802502834,0,2052021230926,2,200,8602
1802502834,0,2052021230926,2,200,413
14476103165,0,2052021232000,2,200,0
1854612166,0,2052021231959,1,200,8165
1854612166,0,2052021232000,2,200,8602
1854612166,0,2052021232001,2,200,413
14476103165,0,2052021233146,2,200,0
411858148,0,2052021233146,1,200,8165
411858148,0,2052021233147,2,200,8602
411858148,0,2052021233148,2,200,413
14476103165,0,2052021234312,2,200,0
10373189211,0,2052021234311,1,200,8165
10373189211,0,2052021234314,2,200,8602
10373189211,0,2052021234315,2,200,413
14476103165,0,2052021235405,2,200,0
35240234239,0,2052021235405,1,200,8165
35240234239,0,2052021235406,2,200,8602
